match_id,year,host,venue,test_no,result,margin
187,1965,AUS,Adelaide Oval,3,DRAW,Match drawn
188,1965,AUS,Gabba,4,ENG,6 wickets
189,1965,AUS,WACA,5,DRAW,Rain affected
190,1968,ENG,Lord's,1,ENG,an innings & 41
191,1968,ENG,The Oval,2,DRAW,Rain affected
192,1968,ENG,Old Trafford,3,DRAW,Match drawn
193,1968,ENG,Headingley,4,AUS,6 wickets
194,1968,ENG,Edgbaston,5,DRAW,Match drawn
195,1970,AUS,MCG,1,DRAW,Match drawn
196,1970,AUS,SCG,2,DRAW,Match drawn
197,1970,AUS,Adelaide Oval,3,ENG,112 runs
198,1970,AUS,Gabba,4,DRAW,Match drawn
199,1970,AUS,WACA,5,DRAW,Match drawn
200,1970,AUS,Perth Stadium,6,ENG,an innings & 41
201,1972,ENG,Lord's,1,AUS,an innings
202,1972,ENG,The Oval,2,DRAW,Rain affected
203,1972,ENG,Old Trafford,3,ENG,6 wickets
204,1972,ENG,Headingley,4,ENG,6 wickets
205,1972,ENG,Edgbaston,5,AUS,75 runs
206,1974,AUS,MCG,1,AUS,75 runs
207,1974,AUS,SCG,2,AUS,6 wickets
208,1974,AUS,Adelaide Oval,3,DRAW,Match drawn
209,1974,AUS,Gabba,4,AUS,75 runs
210,1974,AUS,WACA,5,AUS,75 runs
211,1974,AUS,Perth Stadium,6,ENG,112 runs
212,1975,ENG,Lord's,1,DRAW,Match drawn
213,1975,ENG,The Oval,2,AUS,75 runs
214,1975,ENG,Old Trafford,3,DRAW,Rain affected
215,1975,ENG,Headingley,4,DRAW,Rain affected
216,1976,AUS,MCG,1,DRAW,Match drawn
217,1976,AUS,SCG,2,DRAW,Rain affected
218,1976,AUS,Adelaide Oval,3,DRAW,Match drawn
219,1976,AUS,Gabba,4,DRAW,Match drawn
220,1976,AUS,WACA,5,ENG,5 wickets
221,1977,ENG,Lord's,1,ENG,6 wickets
222,1977,ENG,The Oval,2,ENG,6 wickets
223,1977,ENG,Old Trafford,3,ENG,an innings
224,1977,ENG,Headingley,4,DRAW,Match drawn
225,1977,ENG,Edgbaston,5,DRAW,Match drawn
226,1978,AUS,MCG,1,ENG,6 wickets
227,1978,AUS,SCG,2,AUS,6 wickets
228,1978,AUS,Adelaide Oval,3,ENG,112 runs
229,1978,AUS,Gabba,4,ENG,6 wickets
230,1978,AUS,WACA,5,ENG,112 runs
231,1978,AUS,Perth Stadium,6,ENG,an innings
232,1979,AUS,MCG,1,AUS,75 runs
233,1979,AUS,SCG,2,AUS,10 wickets
234,1979,AUS,Adelaide Oval,3,AUS,6 wickets
235,1981,ENG,Lord's,1,DRAW,Match drawn
236,1981,ENG,The Oval,2,ENG,5 wickets
237,1981,ENG,Old Trafford,3,AUS,10 wickets
238,1981,ENG,Headingley,4,ENG,an innings
239,1981,ENG,Edgbaston,5,ENG,112 runs
240,1981,ENG,Trent Bridge,6,DRAW,Rain affected
241,1982,AUS,MCG,1,DRAW,Rain affected
242,1982,AUS,SCG,2,DRAW,Match drawn
243,1982,AUS,Adelaide Oval,3,AUS,120 runs
244,1982,AUS,Gabba,4,ENG,an innings
245,1982,AUS,WACA,5,AUS,an innings
246,1985,ENG,Lord's,1,ENG,6 wickets
247,1985,ENG,The Oval,2,DRAW,Match drawn
248,1985,ENG,Old Trafford,3,AUS,an innings
249,1985,ENG,Headingley,4,DRAW,Rain affected
250,1985,ENG,Edgbaston,5,ENG,112 runs
251,1985,ENG,Trent Bridge,6,ENG,112 runs
252,1986,AUS,MCG,1,DRAW,Match drawn
253,1986,AUS,SCG,2,DRAW,Match drawn
254,1986,AUS,Adelaide Oval,3,ENG,112 runs
255,1986,AUS,Gabba,4,DRAW,Match drawn
256,1986,AUS,WACA,5,ENG,6 wickets
257,1989,ENG,Lord's,1,DRAW,Match drawn
258,1989,ENG,The Oval,2,AUS,120 runs
259,1989,ENG,Old Trafford,3,AUS,6 wickets
260,1989,ENG,Headingley,4,DRAW,Match drawn
261,1989,ENG,Edgbaston,5,AUS,6 wickets
262,1989,ENG,Trent Bridge,6,AUS,120 runs
263,1990,AUS,MCG,1,AUS,6 wickets
264,1990,AUS,SCG,2,DRAW,Match drawn
265,1990,AUS,Adelaide Oval,3,AUS,75 runs
266,1990,AUS,Gabba,4,AUS,120 runs
267,1990,AUS,WACA,5,DRAW,Match drawn
268,1993,ENG,Lord's,1,AUS,10 wickets
269,1993,ENG,The Oval,2,AUS,75 runs
270,1993,ENG,Old Trafford,3,AUS,6 wickets
271,1993,ENG,Headingley,4,AUS,8 wickets
272,1993,ENG,Edgbaston,5,DRAW,Rain affected
273,1993,ENG,Trent Bridge,6,ENG,6 wickets
274,1994,AUS,MCG,1,AUS,6 wickets
275,1994,AUS,SCG,2,AUS,120 runs
276,1994,AUS,Adelaide Oval,3,ENG,112 runs
277,1994,AUS,Gabba,4,DRAW,Match drawn
278,1994,AUS,WACA,5,AUS,an innings
279,1997,ENG,Lord's,1,DRAW,Match drawn
280,1997,ENG,The Oval,2,AUS,8 wickets
281,1997,ENG,Old Trafford,3,AUS,6 wickets
282,1997,ENG,Headingley,4,ENG,5 wickets
283,1997,ENG,Edgbaston,5,ENG,an innings & 41
284,1997,ENG,Trent Bridge,6,AUS,10 wickets
285,1998,AUS,MCG,1,ENG,an innings & 41
286,1998,AUS,SCG,2,AUS,8 wickets
287,1998,AUS,Adelaide Oval,3,AUS,75 runs
288,1998,AUS,Gabba,4,DRAW,Rain affected
289,1998,AUS,WACA,5,AUS,120 runs
290,2001,ENG,Lord's,1,AUS,8 wickets
291,2001,ENG,The Oval,2,AUS,120 runs
292,2001,ENG,Old Trafford,3,AUS,75 runs
293,2001,ENG,Headingley,4,ENG,an innings
294,2001,ENG,Edgbaston,5,AUS,75 runs
295,2002,AUS,MCG,1,ENG,6 wickets
296,2002,AUS,SCG,2,AUS,an innings
297,2002,AUS,Adelaide Oval,3,AUS,75 runs
298,2002,AUS,Gabba,4,AUS,6 wickets
299,2002,AUS,WACA,5,AUS,an innings
300,2005,ENG,Lord's,1,DRAW,Match drawn
301,2005,ENG,The Oval,2,ENG,5 wickets
302,2005,ENG,Old Trafford,3,AUS,8 wickets
303,2005,ENG,Headingley,4,DRAW,Match drawn
304,2005,ENG,Edgbaston,5,ENG,5 wickets
305,2006,AUS,MCG,1,AUS,120 runs
306,2006,AUS,SCG,2,AUS,120 runs
307,2006,AUS,Adelaide Oval,3,AUS,an innings
308,2006,AUS,Gabba,4,AUS,an innings
309,2006,AUS,WACA,5,AUS,75 runs
310,2009,ENG,Lord's,1,ENG,an innings
311,2009,ENG,The Oval,2,DRAW,Match drawn
312,2009,ENG,Old Trafford,3,ENG,an innings & 41
313,2009,ENG,Headingley,4,DRAW,Rain affected
314,2009,ENG,Edgbaston,5,AUS,10 wickets
315,2010,AUS,MCG,1,ENG,an innings
316,2010,AUS,SCG,2,ENG,5 wickets
317,2010,AUS,Adelaide Oval,3,AUS,75 runs
318,2010,AUS,Gabba,4,ENG,an innings & 41
319,2010,AUS,WACA,5,DRAW,Match drawn
320,2013,ENG,Lord's,1,ENG,an innings & 41
321,2013,ENG,The Oval,2,DRAW,Rain affected
322,2013,ENG,Old Trafford,3,ENG,an innings
323,2013,ENG,Headingley,4,ENG,5 wickets
324,2013,ENG,Edgbaston,5,DRAW,Rain affected
325,2013,AUS,MCG,1,AUS,8 wickets
326,2013,AUS,SCG,2,AUS,120 runs
327,2013,AUS,Adelaide Oval,3,AUS,75 runs
328,2013,AUS,Gabba,4,AUS,an innings
329,2013,AUS,WACA,5,AUS,6 wickets
330,2015,ENG,Lord's,1,ENG,an innings
331,2015,ENG,The Oval,2,AUS,6 wickets
332,2015,ENG,Old Trafford,3,ENG,112 runs
333,2015,ENG,Headingley,4,AUS,6 wickets
334,2015,ENG,Edgbaston,5,ENG,an innings & 41
335,2017,AUS,MCG,1,AUS,120 runs
336,2017,AUS,SCG,2,AUS,75 runs
337,2017,AUS,Adelaide Oval,3,DRAW,Match drawn
338,2017,AUS,Gabba,4,AUS,75 runs
339,2017,AUS,WACA,5,AUS,an innings
340,2019,ENG,Lord's,1,DRAW,Match drawn
341,2019,ENG,The Oval,2,ENG,5 wickets
342,2019,ENG,Old Trafford,3,AUS,120 runs
343,2019,ENG,Headingley,4,ENG,6 wickets
344,2019,ENG,Edgbaston,5,AUS,an innings
345,2021,AUS,MCG,1,AUS,8 wickets
346,2021,AUS,SCG,2,AUS,120 runs
347,2021,AUS,Adelaide Oval,3,AUS,120 runs
348,2021,AUS,Gabba,4,DRAW,Match drawn
349,2021,AUS,WACA,5,AUS,6 wickets
350,2023,ENG,Lord's,1,DRAW,Rain affected
351,2023,ENG,The Oval,2,AUS,an innings
352,2023,ENG,Old Trafford,3,AUS,6 wickets
353,2023,ENG,Headingley,4,ENG,5 wickets
354,2023,ENG,Edgbaston,5,ENG,5 wickets
